Loss iteration 159: ['9.20e-04', '8.56e-04', '1.35e-05', '5.02e-05', '0.00e+00'] - 1s
Loss iteration 160: ['9.13e-04', '8.55e-04', '9.80e-06', '4.79e-05', '0.00e+00'] - 6s
Loss iteration 161: ['9.75e-04', '9.17e-04', '1.35e-05', '4.42e-05', '0.00e+00'] - 6s
Loss iteration 162: ['8.39e-04', '7.79e-04', '1.77e-05', '4.26e-05', '0.00e+00'] - 3s
Loss iteration 163: ['1.37e-03', '1.32e-03', '1.00e-05', '4.21e-05', '0.00e+00'] - 6s
Loss iteration 164: ['1.16e-03', '1.10e-03', '1.49e-05', '4.50e-05', '0.00e+00'] - 6s
Loss iteration 165: ['7.66e-04', '6.84e-04', '3.58e-05', '4.60e-05', '0.00e+00'] - 1s
Loss iteration 166: ['8.92e-04', '8.41e-04', '3.63e-06', '4.68e-05', '0.00e+00'] - 6s
Loss iteration 167: ['8.21e-04', '7.65e-04', '8.41e-06', '4.78e-05', '0.00e+00'] - 4s
Loss iteration 168: ['6.59e-04', '6.04e-04', '5.96e-06', '4.86e-05', '0.00e+00'] - 6s
Loss iteration 169: ['9.53e-04', '8.93e-04', '1.32e-05', '4.69e-05', '0.00e+00'] - 6s
Loss iteration 170: ['8.45e-04', '7.83e-04', '1.70e-05', '4.44e-05', '0.00e+00'] - 6s
Loss iteration 171: ['8.94e-04', '8.05e-04', '4.55e-05', '4.36e-05', '0.00e+00'] - 2s
Loss iteration 172: ['8.66e-04', '8.04e-04', '2.28e-05', '3.96e-05', '0.00e+00'] - 6s
Loss iteration 173: ['1.28e-03', '1.23e-03', '1.04e-05', '3.76e-05', '0.00e+00'] - 6s
Loss iteration 174: ['9.45e-04', '8.92e-04', '1.71e-05', '3.58e-05', '0.00e+00'] - 5s
Loss iteration 175: ['1.08e-03', '1.01e-03', '3.54e-05', '3.65e-05', '0.00e+00'] - 2s
Loss iteration 176: ['1.21e-03', '1.16e-03', '7.81e-06', '3.78e-05', '0.00e+00'] - 2s
Loss iteration 177: ['1.48e-03', '1.43e-03', '5.44e-06', '4.00e-05', '0.00e+00'] - 2s
Loss iteration 178: ['9.91e-04', '9.41e-04', '7.22e-06', '4.19e-05', '0.00e+00'] - 1s
Loss iteration 179: ['1.21e-03', '1.15e-03', '1.84e-05', '4.32e-05', '0.00e+00'] - 2s
Loss iteration 180: ['1.11e-03', '1.06e-03', '6.33e-06', '4.22e-05', '0.00e+00'] - 6s
Loss iteration 181: ['1.45e-03', '1.39e-03', '9.18e-06', '4.22e-05', '0.00e+00'] - 5s
Loss iteration 182: ['9.73e-04', '9.23e-04', '6.86e-06', '4.34e-05', '0.00e+00'] - 6s
Loss iteration 183: ['7.66e-04', '7.05e-04', '2.08e-05', '4.08e-05', '0.00e+00'] - 5s
Loss iteration 184: ['1.06e-03', '1.02e-03', '5.83e-06', '4.12e-05', '0.00e+00'] - 6s
Loss iteration 185: ['7.49e-04', '7.02e-04', '9.33e-06', '3.78e-05', '0.00e+00'] - 6s
Loss iteration 186: ['7.06e-04', '6.60e-04', '6.68e-06', '3.94e-05', '0.00e+00'] - 4s
Loss iteration 187: ['1.05e-03', '9.91e-04', '1.48e-05', '4.10e-05', '0.00e+00'] - 1s
Loss iteration 188: ['9.33e-04', '8.75e-04', '1.41e-05', '4.39e-05', '0.00e+00'] - 4s
Loss iteration 189: ['8.34e-04', '7.76e-04', '1.32e-05', '4.53e-05', '0.00e+00'] - 6s
