Loss iteration 171: ['1.19e-03', '1.05e-03', '1.67e-05', '1.23e-04', '0.00e+00'] - 2s
Loss iteration 172: ['1.36e-03', '1.22e-03', '2.16e-05', '1.19e-04', '0.00e+00'] - 3s
Loss iteration 173: ['1.90e-03', '1.77e-03', '3.76e-06', '1.18e-04', '0.00e+00'] - 7s
Loss iteration 174: ['1.20e-03', '1.08e-03', '5.38e-06', '1.20e-04', '0.00e+00'] - 7s
Loss iteration 175: ['1.01e-03', '8.81e-04', '6.59e-06', '1.18e-04', '0.00e+00'] - 8s
Loss iteration 176: ['1.12e-03', '1.00e-03', '4.21e-06', '1.16e-04', '0.00e+00'] - 7s
Loss iteration 177: ['8.16e-04', '6.94e-04', '6.66e-06', '1.16e-04', '0.00e+00'] - 8s
Loss iteration 178: ['1.34e-03', '1.21e-03', '2.37e-06', '1.29e-04', '0.00e+00'] - 7s
Loss iteration 179: ['1.11e-03', '9.76e-04', '3.66e-06', '1.32e-04', '0.00e+00'] - 3s
Loss iteration 180: ['9.70e-04', '8.18e-04', '2.30e-05', '1.29e-04', '0.00e+00'] - 7s
Loss iteration 181: ['1.20e-03', '1.04e-03', '2.58e-05', '1.36e-04', '0.00e+00'] - 4s
Loss iteration 182: ['8.57e-04', '7.20e-04', '7.54e-06', '1.29e-04', '0.00e+00'] - 6s
Loss iteration 183: ['1.40e-03', '1.26e-03', '5.35e-06', '1.27e-04', '0.00e+00'] - 4s
Loss iteration 184: ['1.72e-03', '1.60e-03', '1.39e-06', '1.20e-04', '0.00e+00'] - 7s
Loss iteration 185: ['1.20e-03', '1.08e-03', '2.12e-06', '1.18e-04', '0.00e+00'] - 8s
Loss iteration 186: ['8.50e-04', '7.29e-04', '3.79e-06', '1.18e-04', '0.00e+00'] - 2s
Loss iteration 187: ['1.26e-03', '1.14e-03', '3.53e-06', '1.21e-04', '0.00e+00'] - 7s
Loss iteration 188: ['8.07e-04', '6.84e-04', '4.14e-06', '1.19e-04', '0.00e+00'] - 8s
Loss iteration 189: ['9.12e-04', '7.83e-04', '6.20e-06', '1.23e-04', '0.00e+00'] - 7s
